name,location_no,city,state,zip,address1,phone
Trufit Texas Brownsville 2,TR71,BROWNSVILLE,TX,78521,2320 N. EXPRESSWAY 77/83,9565061234
Tru Fit San Angelo,TR65,SAN ANGELO,TX,76904,4110 SUNSET DRIVE,3259498888
Tru Fit Bryan Towne Center,TR49,BRYAN,TX,77807,3100 WILDFLOWER DR,9797745364
Tru Fit Universal City,TR51,SAN ANTONIO,TX,78148,2935 PAT BOOKER RD,2102360579
Mission Exp 83,TR75,MISSION,TX,78572,301D E. EXP. 83,8338783481
Tru Fit Midway Super,TR63,MIDLAND,TX,79707,3404 N MIDLAND DRIVE,4322512229
Tru Fit Mission/Conway,TR38,MISSION,TX,78573,3205 N CONWAY AVE,9569973633
Tru Fit Mcallen,TR32,MCALLEN,TX,78503,1201 E RIDGE RD STE C,9566838808
Tru Fit Brownsville Boca Chica,TR39,BROWNSVILLE,TX,78521,2944 BOCA CHICA BLVD,9565447867
Trufit Texas Park North,TR70,SAN ANTONIO,TX,78216,522 NORTHWEST LOOP 410,2107940767
Tru Fit 10Th St,TR73,MCALLEN,TX,78501,900 S 10TH ST,8338783481
Trufit Texas Amarillo,TR66,AMARILLO,TX,79106,2200 BELL ST,8068032302
Tru Fit Ware Road,TR36,MCALLEN,TX,78501,4037 EXPRESSWAY 83,9566276631
Tru Fit Ec Lean,TR53,HARLINGEN,TX,78550,1500 W HARRISON,9564258496
Tru Fit Lubbock 34Th Street,TR57,LUBBOCK,TX,79407,5921 34TH STREET,8067994040
Blast Members,TR50,SAN ANTONIO,TX,78218,5330 WALZEM,8338783481
Tru Fit Midland Meta,TR61,MIDLAND,TX,79701,#3 META DRIVE,4326834654
Antioch,TR77,ANTIOCH,TN,37013,2401 EDGE O' LAKE DRIVE,8338783481
Tru Fit Edinburg,TR31,EDINBURG,TX,78539,2651 CORNERSTONE BLVD STE A,9566860123
Tru Fit Villa Maria,TR48,BRYAN,TX,77807,1900 VILLA MARIA RD,9798230971
Tru Fit Ed Carey,TR54,HARLINGEN,TX,78570,1001 N ED CAREY DR,9563685634
Tru Fit Longmire,TR47,COLLEGE STATION,TX,77845,3526 LONGMIRE DR,9794859999
Trufit Texas Mccreless,TR69,SAN ANTONIO,TX,78225,3524 S NEW BRAUNFELS #101,2102598123
Tru Fit Lubbock 19Th Street,TR59,LUBBOCK,TX,79407,4124 19TH STREET,8067977867
Tru Fit Sa Bandera,TR45,SAN ANTONIO,TX,78238,5819 NW LOOP 410,2102489360
Tru Fit Lubbock 82Nd Street,TR58,LUBBOCK,TX,79424,5105 82ND STREET,8066878000
Tru Fit Texas Ave,TR46,COLLEGE STATION,TX,77840,2412 TEXAS AVE SOUTH,9795999080
Tru Fit Harlingen,TR34,HARLINGEN,TX,78550,1500 W HARRISON,9564258496
Tru Fit Odessa,TR64,ODESSA,TX,79763,2423 N. COUNTY ROAD WEST,4326145664
Tru Fit Trenton,TR40,EDINBURG,TX,78539,1901 W TRENTON,9563869970
Tru Fit University,TR41,EDINBURG,TX,78539,2241 W UNIVERSITY,9562920010
Military Market,TR76,SAN ANTONIO,TX,78224,2555 SW MILITARY DRIVE,8338783481
Tru Fit Mission,TR33,MISSION,TX,78572,1718 E GRIFFIN PARKWAY,9565834040
Trufit Texas El Paso Sunland,TR67,EL PASO,TX,79912,750 SUNLAND PARK DR,9153001993
Tru Fit Lubbock 4Th Street,TR56,LUBBOCK,TX,79416,5402 4TH STREET UNIT 3,8066874242
Tru Fit Sa Walzem,TR44,SAN ANTONIO,TX,78218,5330 WALZEM,2102367712
Tru Fit University 2,TR74,EDINBURG,TX,78539,511 E. UNIVERSITY DRIVE,9562920010
Tru Fit Weslaco B,TR37,WESLACO,TX,78596,,9568544118
Trufit Texas Odessa 42Nd,TR68,ODESSA,TX,79760,625 E 42ND ST,2102489360
Tru Fit Military,TR52,SAN ANTONIO,TX,78221,165 SW MILITARY DR,2102399025
Tru Fit Laredo,TR55,LAREDO,TX,78041,5300 SAN DARIO AVE,9566021541
Tru Fit Midland Cornerstone,TR62,MIDLAND,TX,79707,4400 N MIDLAND DRIVE STE 2001,4326990227
Trufit Texas Killeen,TR72,KILLEEN,TX,76541,902 W CENTRAL TEXAS EXPY,2542624041
Tru Fit 2Nd Street,TR42,MCALLEN,TX,78501,110 S 2ND,9566270381
Tru Fit 23Rd,TR43,MCALLEN,TX,78504,5300 N 23RD,9566687325
Tru Fit Weslaco,TR35,WESLACO,TX,78596,500 W EXPRESSWAY 83,9568544118
